# 函戈五笔 拼音码表
# 格式：拼音	汉字	权重
# 来源：rime-pinyin-simp + rime-luna-pinyin
# 条目数：119004
de	的	9999
le	了	9239
wo	我	9090
shi	是	9084
zai	在	8959
ni	你	8958
he	和	8710
you	有	8659
bu	不	8634
jiu	就	8597
ye	也	8387
dou	都	8383
yao	要	8375
ba	吧	8356
hao	好	8345
yige	一个	8336
ta	他	8282
shuo	说	8273
qu	去	8257
meiyou	没有	8247
women	我们	8240
keyi	可以	8203
dao	到	8187
mei	没	8183
shenme	什么	8183
shang	上	8160
dui	对	8148
hai	还	8148
na	那	8124
zhege	这个	8084
ren	人	8076
hehe	呵呵	8074
xianzai	现在	8065
ge	个	8064
kan	看	8062
zhong	中	8057
ne	呢	8048
ziji	自己	8046
lai	来	8032
ma	吗	7992
jiushi	就是	7966
wei	为	7963
hui	会	7957
ta	她	7943
yu	与	7937
huifuriqi	回复日期	7928
gei	给	7903
deng	等	7871
zhe	这	7855
bushi	不是	7838
zenme	怎么	7836
yong	用	7818
haishi	还是	7813
ba	把	7807
xia	下	7800
en	恩	7793
neng	能	7791
hen	很	7786
tamen	他们	7770
ruguo	如果	7765
duo	多	7761
zuo	做	7761
zhidao	知道	7719
shihou	时候	7714
xiang	想	7707
bei	被	7690
dian	点	7689
wenti	问题	7686
er	而	7679
hou	后	7673
yi	一	7672
you	又	7665
zheyang	这样	7656
yijing	已经	7649
cong	从	7635
haha	哈哈	7607
yinwei	因为	7605
zai	再	7602
jiang	将	7594
gongsi	公司	7590
shi	时	7585
nage	那个	7584
dan	但	7574
guo	过	7553
me	么	7545
jintian	今天	7541
da	打	7529
gongzuo	工作	7529
zhongguo	中国	7521
da	大	7518
danshi	但是	7516
nian	年	7513
buguo	不过	7503
la	啦	7496
di	地	7491
keneng	可能	7486
mai	买	7482
yi	以	7482
li	里	7467
rang	让	7466
yinggai	应该	7465
suoyi	所以	7453
nimen	你们	7449
yixia	一下	7442
shijian	时间	7432
xiao	小	7426
doushi	都是	7424
zhe	着	7395
haiyou	还有	7383
jinxing	进行	7371
xian	先	7369
juede	觉得	7366
a	啊	7365
huo	或	7361
xuyao	需要	7357
buneng	不能	7341
ya	呀	7329
bing	并	7327
kaishi	开始	7320
zhao	找	7319
ji	及	7312
xin	新	7312
dongxi	东西	7311
name	那么	7303
de	得	7298
gen	跟	7290
zheme	这么	7288
yu	于	7282
xihuan	喜欢	7273
bijiao	比较	7269
tai	太	7259
ma	嘛	7255
hao	号	7251
ri	日	7249
cai	才	7248
fa	发	7244
ranhou	然后	7244
yixie	一些	7243
ke	可	7238
buhui	不会	7236
bi	比	7235
dajia	大家	7227
wan	玩	7221
henduo	很多	7215
men	们	7208
zui	最	7208
kandao	看到	7206
buyao	不要	7205
yue	月	7204
chi	吃	7203
zhen	真	7201
yiyang	一样	7197
zhexie	这些	7180
yeshi	也是	7173
ganjue	感觉	7165
kankan	看看	7146
qishi	其实	7144
chulai	出来	7138
pengyou	朋友	7136
